type;title;director;cast;country;date_added;release_year;rating;duration;listed_in;description
TV Show;The Underclass;Pass Patthanakumjon;Nannaphas Loetnamchoetsakun, Praewa Suthamphong, Sumitra Duangkaew, Tanutchai Wijitvongtong, Tarisa Preechatangkit, Natticha Chantaravareelekha, Miori Ohkubo, Pakwan Noijaiboon, Napaphat Worraphuttanon, Vathusiri Phuwapunyasiri, Rinrada Inthaisong, Suchaya Saenkhot, Mananya Kaoju, Kandis Wanarun, Ekapol Deebunmee, Panta Pattanaampaiwong, Rachaya Tupkunanon, Supasawad Buranawech, Thitirat Rojsangrat, Sawanee Utoomma, Phattharanarin Mueanarit, Chanyapuk Numprasop;Thailand;April 14, 2021;2020;TV-MA;1 Season;International TV Shows, TV Dramas, Teen TV Shows;After getting dropped from an elite program, a student gets tangled in the affairs of a high school gang while trying to find her own identity.
TV Show;Middleditch & Schwartz;Ryan Polito;Thomas Middleditch, Ben Schwartz;United States;April 21, 2020;2020;TV-MA;1 Season;TV Comedies;Comedy duo Thomas Middleditch and Ben Schwartz turn small ideas into epically funny stories in this series of completely improvised comedy specials.
TV Show;The Forest of Love: Deep Cut;Sion Sono;Kippei Shiina, Shinnosuke Mitsushima, Kyooko Hinami, Eri Kamataki, Young Dais, Natsuki Kawamura, Yuzuka Nakaya, Dai Hasegawa, Chiho Fujii, Sei Matobu, Denden;Japan;April 30, 2020;2020;TV-MA;1 Season;Crime TV Shows, International TV Shows, TV Dramas;Nothing's as it seems when a charismatic conman and an aspiring film crew delve into the lives of two emotionally scarred women.
TV Show;The Victims' Game;David Chuang, Chen Kuan-chung;Joseph Chang, Hsu Wei-ning, Jason Wang, Ruby Lin, Moon Lee, River Huang, Chen Chia-kuei, Ding Ning, Hsia Ching-ting, Rexen Cheng;Taiwan;April 30, 2020;2020;TV-MA;1 Season;Crime TV Shows, International TV Shows, TV Dramas;After discovering his estranged daughter's link to mysterious murders, a forensic detective with Asperger's syndrome risks everything to solve the case.
TV Show;Goedam;Hong Won-ki;SEOLA, Lee Hyun-joo, Song Chae-yun, Han Ga-rim, Shim So-young;South Korea;August 20, 2020;2020;TV-MA;1 Season;International TV Shows, TV Horror, TV Mysteries;When night falls on the city, shadows and spirits come alive in this horror anthology series centered on urban legends.
TV Show;Anitta: Made In Honório;Andrucha Waddington, Pedro Waddington;Anitta;Brazil;December 16, 2020;2020;TV-MA;1 Season;Docuseries, International TV Shows;In this intimate documentary, Brazilian pop queen Anitta opens up about fame, family and her fierce work ethic, revealing the woman behind the hits.
TV Show;Schulz Saves America;Alexx Media;Andrew Schulz;United States;December 17, 2020;2020;TV-MA;1 Season;Stand-Up Comedy & Talk Shows, TV Comedies;Comedian Andrew Schulz takes on the year's most divisive topics in this fearlessly unfiltered and irreverent four-part special.
TV Show;Paava Kadhaigal;Sudha Kongara, Vignesh Shivan, Gautham Vasudev Menon, Vetri Maaran;Kalidas Jayaram, Shanthnu Bhagyaraj, Bhavani Sre, Kalki Koechlin, Anjali, Padam Kumar, Prakash Raj, Sai Pallavi, Hari, Gautham Vasudev Menon, Simran;India;December 18, 2020;2020;TV-MA;1 Season;International TV Shows, TV Dramas;At times dark, at times disturbing, four short films explore stories of those who dare to dream and desire — and those determined to stand in their way.
TV Show;Detention;Su I-Hsuan, Chuang Shiang-an, Liu Yi;Li Lingwei, Han Ning, Huang Guanzhi, Jack Yao, Hsia Teng-hung, David Chao, Luo Guanxu, Wu Kunda, Serena Fang, Carol Cheng, Chang Han;Taiwan;December 5, 2020;2020;TV-MA;1 Season;International TV Shows, TV Dramas, TV Horror;A tormented student uncovers unsettling secrets at her remote high school as betrayal and a paranormal encounter upend her life.
TV Show;The House Arrest of Us;Richard Arellano;Daniel Padilla, Kathryn Bernardo, Herbert Bautista, Ruffa Gutierrez, Gardo Versoza, Arlene Muhlach, Arlene Muchlach, Dennis Padilla, Riva Quenery, Anthony Jennings, Alora Sasam, Huybs Azarcon;Philippines;February 1, 2021;2020;TV-MA;1 Season;International TV Shows, Romantic TV Shows, TV Comedies;A couple decides to make their engagement official by honoring tradition when a pandemic forces them and their families to quarantine under one roof.
TV Show;Six Windows in the Desert;Ali Kalthami, Meshal Aljaser, Faris Godus, Mohamed al Salman, Faisal al Amer;Moayad Alnefaie, Mohammed Alhamdan, Citi Bet Baydi, Sadeem Alshehri, Mohammed Albakri, Moayed Althagafi, Hussain Alyahya, Abeer Alotaibi, Zara Albalushi, Ali Alshehabi;Saudi Arabia;February 27, 2020;2020;TV-14;1 Season;TV Shows;From a theatre play to the aftermath of a plane crash, this collection of shorts from Saudi filmmakers depicts the nuances of Saudi Arabian culture.
TV Show;Jamtara - Sabka Number Ayega;Soumendra Padhi;Amit Sial, Dibyendu Bhattacharya, Aksha Pardhasany, Sparsh Shrivastava, Monika Panwar, Anshumaan Pushkar;India;January 10, 2020;2020;TV-MA;1 Season;Crime TV Shows, International TV Shows, TV Dramas;A group of small-town young men run a lucrative phishing operation, until a corrupt politician wants in on their scheme – and a cop wants to fight it.
TV Show;The Ghost Bride;Quek Shio-chuan;Huang Peijia, Wu Kang-jen, Ludi Lin, Janet Hsieh, Kuang Tian, Susan Leong, Jordan Voon, Angeline Tan, Jojo Goh, Teresa Daley;Taiwan, Malaysia;January 23, 2020;2020;TV-14;1 Season;International TV Shows, TV Dramas, TV Mysteries;In 1890s Malacca, Li Lan finds herself in the afterlife and becomes mired in a mystery linked to the sinister, deceased son of a wealthy family.
TV Show;Hook;Rachit Kusonkoonsiri;Peemapol Panichtamrong, Phiravich Attachitsataporn, Thime Pichitsurakit, Jidapa Siribunchawan, Yanin Opassathaworn, Jaturong Kolimart, Pete Thongchua, Ratchanont Sukpragawp, Kanyaphak Pongsak, Kittikun Tansuhas, Tanawat Cheawaram, Toru Takizawa, Noraworn Puangumpai;Thailand;July 5, 2020;2020;TV-MA;1 Season;International TV Shows, Romantic TV Shows, TV Comedies;Despite their fathers' rivalry, two university students form a friendship at a boxing gym as they tackle family drama, romance and personal crises.
TV Show;Inhuman Resources;Ziad Doueiri;Eric Cantona, Suzanne Clément, Alex Lutz, Gustave Kervern, Alice de Lencquesaing, Louise Coldefy, Nicolas Martinez, Adama Niane;France;May 15, 2020;2020;TV-MA;1 Season;Crime TV Shows, International TV Shows, TV Dramas;Alain Delambre, unemployed and 57, is lured by an attractive job opening. But things get ugly when he realizes he’s a pawn in a cruel corporate game.
TV Show;Sleepless Society: Two Pillows & A Lost Soul;Sivaroj Kongsakul;Numthip Jongrachatawiboon, Vorarit Fuangarom, Bhumibhat Thavornsiri, Thanongsak Suphakan, Kanjanaporn Plodpai, Tosatid Darnkhuntod, Boonsong Nakphoo, Arachaporn Pokinpakorn, Annita Sarucha, Chidsanupong Sakulnuntipat, Nisawan Silpapearsue, Porntip Tipsiri, Thana Srisuke;Thailand;May 15, 2020;2020;TV-MA;1 Season;Crime TV Shows, International TV Shows, TV Dramas;A motivational speaker about to divorce her abusive husband wakes up from a wild party one morning to find a dead body.
TV Show;Patton Oswalt: I Love Everything;Marcus Raboy;Patton Oswalt, Bob Rubin;United States;May 19, 2020;2020;TV-MA;1 Season;Stand-Up Comedy & Talk Shows, TV Comedies;Turning 50. Finding love again. Buying a house. Experiencing existential dread at Denny's. Life comes at Patton Oswalt fast in this stand-up special.
TV Show;Almost Happy;Hernán Guerschuny;Sebastián Wainraich, Natalie Pérez, Santiago Korovsky;Argentina;May 2, 2020;2020;TV-MA;1 Season;International TV Shows, Spanish-Language TV Shows, TV Comedies;Sebastián is a radio show host of modest fame, trying to find a way in the world as he deals with his ex-wife (whom he still loves) and two kids.
TV Show;The Eddy;Damien Chazelle, Houda Benyamina, Laïla Marrakchi, Alan Poul;André Holland, Joanna Kulig, Amandla Stenberg, Leïla Bekhti, Tahar Rahim, Benjamin Biolay, Adil Dehbi, Melissa George, Lada Obradovic, Tchéky Karyo, Randy Kerber, Elyes Aguis, Damian Nueva Cortes;United Kingdom, Germany, United States, France;May 8, 2020;2020;TV-MA;1 Season;International TV Shows, TV Dramas;The owner of a Paris jazz club gets tangled up with dangerous criminals as he fights to protect his business, his band and his teenage daughter.
TV Show;A Queen Is Born;Carla Barros;Gloria Groove, Alexia Twister;Brazil;November 11, 2020;2020;TV-14;1 Season;International TV Shows, Reality TV;Gloria Groove and Alexia Twister make drag dreams come true as they help six artists find the confidence to own the stage in this makeover show.
TV Show;The Minions of Midas;Mateo Gil;Luis Tosar, Marta Belmonte, Guillermo Toledo, Carlos Blanco, Marta Milans, Goize Blanco, Elena Irureta, Bea Segura, Jorge Andreu, Daniel Holguín, Adolfo Fernández, Fernando Barona, Juan Blanco, Ahmed Boulane, Pepe Ocio, Vito Sanz, Adelfa Calvo, Joaquín Climent, Carmelo Gómez, Miguel Ángel Solá;Spain;November 13, 2020;2020;TV-MA;1 Season;Crime TV Shows, International TV Shows, Spanish-Language TV Shows;A millionaire publisher gets a blackmail note — his decision can mean life or death. Inspired by a Jack London story but set in contemporary Madrid.
TV Show;Someone Has to Die;Manolo Caro;Carmen Maura, Cecilia Suárez, Ester Expósito, Ernesto Alterio, Alejandro Speitzer, Isaac Hernández, Carlos Cuevas, Mariola Fuentes, Pilar Castro, Juan Carlos Vellido, Eduardo Casanova, Manuel Morón, Javier Pereira;Mexico, Spain;October 16, 2020;2020;TV-MA;1 Season;Crime TV Shows, International TV Shows, Spanish-Language TV Shows;In conservative 1950s Spain, the alleged relationship between a young man and a Mexican ballerino creates an uproar of harrowing consequences.
TV Show;The Devil Punisher;Chang Chin-jung, Chen Rong-hui;Mike He, Ivy Shao, Anson Chen, Jane Chang, Roy Chang, Amanda Chou, Johnny Yang, Yin Chao-te, Tan Ai-Chen, Chen Bor-jeng, Dewi Chien;Taiwan;October 26, 2020;2020;TV-14;1 Season;International TV Shows, Romantic TV Shows, TV Mysteries;A baker by day and demon fighter by night, a reincarnated deity must jog his amnesiac lover's memory of their millennium-long romance.
TV Show;To the Lake;Pavel Kostomarov;Viktoriya Isakova, Kirill Käro, Aleksandr Robak, Natalya Zemtsova, Maryana Spivak, Yuri Kuznetsov, Eldar Kalimulin, Viktoriya Agalakova, Alexander Yatsenko, Saveliy Kudryashov;Russia;October 7, 2020;2020;TV-MA;1 Season;International TV Shows, TV Dramas, TV Mysteries;Facing the end of civilization when a terrifying plague strikes, a group risks their lives, loves — and humanity — in a brutal struggle to survive.
TV Show;Julie and the Phantoms;Kenny Ortega;Madison Reyes, Charlie Gillespie, Owen Patrick Joyner, Jeremy Shada, Jadah Marie, Sacha Carlson, Savannah Lee May, Cheyenne Jackson, Carlos Ponce, Booboo Stewart, Sonny Bustamante;United States;September 10, 2020;2020;TV-G;1 Season;Kids' TV, TV Comedies;Julie lost her passion for music when she lost her mom. But when three ghostly guys appear and lift her spirits, they decide to start a band together!
Movie;The Crimes That Bind;Sebastián Schindel;Cecilia Roth, Miguel Ángel Solá, Benjamín Amadeo, Sofía Gala Castiglione, Yanina Ávila, Marcelo Subiotto, Paola Barrientos, Diego Cremonesi, Claudio Martínez Bel;Argentina;August 20, 2020;2020;TV-14;100 min;Dramas, International Movies;When her son is accused of raping and trying to murder his ex-wife, Alicia embarks on a journey that will change her life forever.
Movie;Milea;Fajar Bustomi, Pidi Baiq;Iqbaal Ramadhan, Vanesha Prescilla, Ira Wibowo, Bucek, Happy Salma, Farhan, Maudy Koesnaedi, Jerome Kurnia;Indonesia;June 13, 2020;2020;TV-14;100 min;Dramas, International Movies, Romantic Movies;Years after his teen romance with Milea, a now-adult Dilan tells his version of their love story when a high school reunion brings them back together.
Movie;Masameer - The Movie;Malik Nejer;Malik Nejer, Shahad Alahmari, Abdulaziz Almuzaini, Yousef Aldakheel;Saudi Arabia;March 19, 2020;2020;TV-14;100 min;Comedies, International Movies;A young girl passionate about AI sets out to make an impact as three friends become crime-fighting superheroes. Based on the hit animated web series.
Movie;The Strange House;Daniel Prochaska;León Orlandianyi, Benno Roßkopf, Julia Koschitz, Marii Weichsler, Lars Bitterlich, Michael Pink, Inge Maux, Elfriede Schüsseleder, Michael Somma, Finn Reiter, Markus Stubeier, Luca Streussnig;Austria;May 14, 2021;2020;TV-MA;100 min;Horror Movies, International Movies, Thrillers;When a big-city family moves to a remote town, two young brothers and their new friends try to solve the menacing mystery that haunts their home.
Movie;The Beast;Ludovico Di Martino;Fabrizio Gifuni, Lino Musella, Monica Piseddu, Andrea Pennacchi, Emanuele Linfatti, Nicolò Galasso, Giacomo Colavito, Giada Gagliardi, Gianmarco Vettori, Silvia Gallerano, Massimiliano Setti;Italy;November 27, 2020;2020;TV-MA;100 min;Action & Adventure, International Movies;To rescue his daughter, an unstable Special Forces veteran unleashes his inner beast as he pursues her kidnappers — and soon becomes a suspect himself.
Movie;Over the Moon;Glen Keane;Cathy Ang, Phillipa Soo, Ken Jeong, Robert G. Chiu, John Cho, Sandra Oh, Ruthie Ann Miles, Margaret Cho, Kimiko Glenn, Artt Butler, Irene Tsu, Clem Cheung, Conrad Ricamora;China, United States;October 23, 2020;2020;PG;100 min;Children & Family Movies, Music & Musicals;Fueled by memories of her mother, resourceful Fei Fei builds a rocket to the moon on a mission to prove the existence of a legendary moon goddess.
